"","final_title","final_hit","filter_url","contentlist"
"11","조주빈이 박사방에 올린 유서","3132","https://www.clien.net/service/board/park/14749782?od=T31&po=0&category=&groupCd=community","      포위망이 좁혀오자 올린 유서래요.                         뭔가 미친넘은 맞긴하네요   "
"12","일본 올림픽 연기......","667","https://www.clien.net/service/board/park/14749781?od=T31&po=0&category=&groupCd=community","      구경 하는거 꿀잼이네요 ㅋㅋㅋㅋㅋ   아베 연임 되었으면 좋겠어요.   아베 연임 -&gt; 세계 코로나 진정세 -&gt; 일본 여행객 또는 일본 여행한 사람 코로나 양성    이런식으로 넘어가면 ㅋㅋㅋ 진짜 재미있는 상황 올듯 ㅋㅋㅋㅋ   방사능 공론화 다시 시키기도 해야되고   "
"13","윤석열 장모 n번방","826","https://www.clien.net/service/board/park/14749779?od=T31&po=0&category=&groupCd=community","      이 관련 있다는게 아니라   둘 다 철저히 수사해야죠   기레기들이 n번방에 미쳐 날뛰는거 보면...   "
"14","T맵 운전 점수? 운전 습관? 기능이 있네요","819","https://www.clien.net/service/board/park/14749778?od=T31&po=0&category=&groupCd=community","      당장 기능 해제했습니...다. OTL         with ClienKit③ /iPhone 8 Plus (RED)      "
"15","하루 빨리 유흥, 단란주점들 휴업권고 때려야 하지 않을까요","895","https://www.clien.net/service/board/park/14749777?od=T31&po=0&category=&groupCd=community","      클럽, 단란주점, 유흥업소 등      생활하는데 필요도 없고 필수도 아닌 곳들이 아직도 버젓이 영업하고 있는게 이해가 안 됩니다.      일반 영세 자영업자가 아닌, 일정 규모 이상의 유흥업소, 단란주점, 클럽(사실상 소규모 영세 자영업이 없는 곳들)을 빨리 폐쇄해야 할 것 같은데...      이런 곳은 거론조차 안되는데 아쉬울 따름이네요.   "
"16","GS25 나만의냉장고 펭수쿠션에 이어 펭수머그랍니다.","438","https://www.clien.net/service/board/park/14749776?od=T31&po=0&category=&groupCd=community","      펭수머그는 다음달 행사인데 지난번처럼 자정에 맞춰 초콜릿을 구매하는 상황은 없을것 같습니다.      펭수우유 3종, 펭수빵 4종, 펭수 도시락/김밥/삼각김밥/샌드위치, 펭수 우산 2종/양말 4종   + 야쿠르트그랜드, 공화춘삼선짬뽕, 공화춘짜장, 틈새라면      위 상품 구입하면 스탬프 찍히는데 5개 모으면 응모가 가능하고 하루에 10개까지라고합니다.   (펭수 우산이랑 양말은 2개씩 주나봐요.)      하지만 펭수머그만 주는것도 아닙니다.   랜덤경품인데 펭수 열공 머그컵 19천개, 펭수 스웩 머그컵 19천개, 야쿠르트그랜드 10천개, 틈새라면(소) 20천개, 인생라면 10천개로 야구르트나 라면을 받으실 수도 있습니다.    10개 모아서 펭수 머그 2종이 각각 당첨된다면 운이 좋은거겠지만 초반에는 라면 많이 나올것 같네요 ㅎㅎ   "
"17","개표참관인 모집하네요. 우리가 맹기는 공정선거.","436","https://www.clien.net/service/board/park/14749775?od=T31&po=0&category=&groupCd=community","      선간위를 못 믿어서 선거때마다 참여하고 있는데   이번에 저희지역은 늦었네요.   그나마 부산은 강서구 한곳만 마감이 안되었구요.      다른지역 혹시 뜻있는 분들 신청해보세요.      https://www.nec.go.kr/portal/ocaIDcheck2.do   "
"18","신현영 비례 후보에 대한 가짜뉴스가 있네요.","442","https://www.clien.net/service/board/park/14749773?od=T31&po=0&category=&groupCd=community","      http://www.newsmp.com/news/articleView.html?idxno=124372   (2014년 8월)신현영 홍보이사, 대변인 겸직 -2014.08.28 16:07   신현영 대한의사협회 홍보이사가 대변인을 겸직하게 됐다.대한의사협회(회장 추무진)은 지난 27일 상임이사회를 열고 신 이사의 대변인 겸직을 결정했다.      http://www.monews.co.kr/news/articleView.html?idxno=112580   (2018년 3월) 제40대 의협 회장 최대집 후보 당선      https://www.medigatenews.com/news/2015882296   (2018년 4월) 최대집 집행부 인선 완료 ""의협 역대 집행부 중 최다 소송, 강력 투쟁 자신""   기획이사 겸 대변인, 세종사무소장은 정성균 전 의료혁신투쟁위원회 대표가 임명됐다.      -----   시간의 흐름대로 한참 오래전에 대변인을 맡았던 이력이 있는거고   최대집 당선 직후 인선 전부 갈아엎어졌습니다.      근데 최대집의 복심이요?!      제가 그 글 보기 직전까지도 신현영이라는분을 이름도 몰랐고   복심이라는 소리에 설마 시민당 비례에 최대집 복심이 들어올리가... 싶어서 스스로 검색하고 찾아본 결과물입니다.      진짜 별 개소리 헛소리가 다 나오네요.   "
"19","중국 공장들 밀란과 뉴욕에 공급할 산소호흡기 생산에 정신이 없다는 블룸버그 기사","893","https://www.clien.net/service/board/park/14749772?od=T31&po=0&category=&groupCd=community","      “전세계에서 지금 당장 중국에서 생산된 산소호흡기를 사고 싶지 않은 나라가 없을 겁니다.”   “문제는 우리가 얼마나 빨리 만들 수 있는 지 입니다.”   - Li Kai, director of Beijing Aeonmed      수출량 맞추려고 24시간 쉬는 날 없이 공장이 돌아간다고 합니다.      당장 뉴욕의 경우 산소호흡기가5,000대에서 6,000대정도 있는데 앞으로 30,000대 정도가 필요하다고 합니다.   미국 전력으로는 앞으로 960,000명의 환자가 산소호흡기를 필요로 할텐데 현재 200,000대 정도 있다고 합니다.      중국은 정말로 병주고 약팔아먹고 있네요.   예전에는 창조경제가 뭔지 몰랐는데 창조경제가 이거 비슷한거 아닌가 싶네요.   "
"20","똑똑한 일본인 ㅋㅋㅋ","2557","https://www.clien.net/service/board/park/14749770?od=T31&po=0&category=&groupCd=community","         ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ   "
"21","호주 선불 요금제 끝내주네요.","1044","https://www.clien.net/service/board/park/14749769?od=T31&po=0&category=&groupCd=community","                     30 호주 달러 = 22,231원      28일 기준 데이터 15G      전화 무제한 문자 무제한 심지어 국제전화도 무제한이네요.      우리 나라는 이런 서비스 안나올런지..      참.. 통신비가 너무 비쌉니다.      한국도 프리페이드 요금제 활성화좀 되었으면 좋겠습니다.   "
"22","미국, 코로나19 재난소득 지급에 디지털 달러 활용","1089","https://www.clien.net/service/board/park/14749768?od=T31&po=0&category=&groupCd=community","      CBCD 일려나요.   아니면 제로페이 같은 디지털 달러일까요 ㅋㅋ   "
"23","섬나라 왜구 올림픽 연기와 아베 지지율","809","https://www.clien.net/service/board/park/14749767?od=T31&po=0&category=&groupCd=community","      절대 영향 없을거라 봅니다.   왜냐   선동세뇌 섬나라 왜구 아닙니까???   뻔할 뻔자   올림픽 연기에 대한 경제 손실에 대한 설명은 일체 없을것이고   섬나라 왜구 찌라시도 통제하면서   이제 그 관심을 코로나로 돌리겠지요   아베는 조금이나마 지지율 하락이 오면 협한 이라는 좋은 수단을 가지고 있으니   무슨 걱정이겠습니까??   우리 대한민국 매국 토착 왜구 세력이 종북, 좌빨 타령으로 기득권 이어온 그 수단 그대로            "
"24","3d 프린터 전망을 어떻게 보시나요?","1111","https://www.clien.net/service/board/park/14749764?od=T31&po=0&category=&groupCd=community","      아직까지는 대기업에서 뛰어들지도 않은 것 같고      중소기업들이 개발하는 것 같은데요      개인들이 쓸 일은 생각보다 별로 없을 것 같기도 한데      또 보니까 엄청 큰 3d 프린터로 이것 저것 다 만들기도 하더라고요         3d 프린터 미래가 밝을까요?      "
"25","매일경제... 손발 오글","2495","https://www.clien.net/service/board/park/14749763?od=T31&po=0&category=&groupCd=community","      할말하않 ㄷㄷ   "
"26","한결 같아서 웃음만 나오는 신천핑크통합똥당","1245","https://www.clien.net/service/board/park/14749762?od=T31&po=0&category=&groupCd=community","         제사 지내냐?   "
"27","USA투데이 'IOC, 도쿄올림픽 연기 확정..내년 개최'","1610","https://www.clien.net/service/board/park/14749760?od=T31&po=0&category=&groupCd=community","         내년에 무슨 국제스포츠 있다고 들었는데 말이죠ㄷㄷㄷㄷ   "
"28","자가격리 3일차","616","https://www.clien.net/service/board/park/14749759?od=T31&po=0&category=&groupCd=community","      지난 일요일 점심쯤부터 갑자기 오한이 들더니 뭔가 몸살감기가 걸릴것 같다 라는 생각이 들더군요 ㅠㅠ 이때부터 일단 혹시 모르니까 외출하지말아야 겠다 라는 생각으로 집밖에 안나갔습니다      평소 집밖에 나갈땐 무조건 마스크 착용하고 외출후 들어오면 바로 손소독제로 손닦고 기본적인 수칙들을 잘 지켜나가고 있었기에 코로나 라는 생각이 들지는 않지만 혹시나 제가 놓친 부분들이 있을수 있기에 오늘까지 회사에 알리고 자가격리중입니다.      기침은 심하게 나오진 않고, 약간의 미열이 있는데 오늘 오후쯤에는 안심병원에 가봐야 하나까지생각하고 있습니다.      정말 단순하게도 이동루틴이 근무지-자택-근무지-자택 이지만 혹시나 하는 경우인데 참 말로 표현하기가 애매하고 걱정도되네요      클량분들 모두 건강유의하시고 행복한 하루되세요   "
"29","비상착륙후 비행기의 바퀴.jpg","3319","https://www.clien.net/service/board/park/14749758?od=T31&po=0&category=&groupCd=community","      지우개 ㅎㄷㄷ   "
"30","n번방 아날로그 버전.jpg","2601","https://www.clien.net/service/board/park/14749757?od=T31&po=0&category=&groupCd=community","         시대를 앞서간 범죄자 입니다   "
"31","종양 왜국 일보 근황","1314","https://www.clien.net/service/board/park/14749756?od=T31&po=1&category=&groupCd=community","      트럼프 경기 부양책 불발에도, 일본 경제ㆍ산업에 직접 타격을 줄 수 있는 도쿄 올림픽 연기 가능성에도 일본 증시는 흔들리지 않았다. 일본 니혼게이자이신문은 이런 증시 흐름을 두고 “(일본) 시장 내에서도 놀랍게 받아들이는 현상”이라며 “공적 자금이 버팀목”이라고 전했다. 아사히신문도 “이날 해외의 기관투자가가 매물을 쏟아냈지만 연기금 자금의 매수세로 도쿄 증시는 상승 마감했다”고 보도했다.   겉으로 보기에 일본 주가지수 흐름은 평온했지만 수면 아래는 금융위기 상황과 맞먹는 사실상의 공적 자금 투입이 있다는 얘기다. 현재 일본 증시를 떠받치고 있는 ‘큰 손’은 두 곳이다. 일본 공적연금(GPIF) 그리고 일본은행(BOJ)이다.   일본 GPIF는 한국의 국민연금ㆍ공무원연금과 비슷한 역할을 하는 곳이다. 2019년 3분기 기준 자산 규모가 168조9897억 엔(약 1950조원)에 이르는 세계 1위 연기금이다. GPIF는 자산의 일정 비율을 주식으로 보유하도록 규정하고 있다. 최근 주가 하락으로 지분 가치가 떨어지면서 자연적으로 주식 보유 비중도 작아졌다. 이 비율을 끌어올리고, 시장도 지탱하려 GPIF가 공격적으로 매수에 나서고 있다는 게 시장 분석이다.   BOJ는 일본의 중앙은행으로 한국은행과 성격이 비슷하다. BOJ는 상장지수펀드(ETF)를 사들이는 방식으로 직접 일본 증시에 개입하고 있다. 이달 들어 BOJ는 ETF 1000억 엔어치 이상을 하루가 멀다 하고 사들이는 중이다. 빈도도 잦아졌고 액수도 늘고있다. 블룸버그에 따르면 지난 19일 하루에만 BOJ는 2016억 엔 상당 ETF를 매입했다. 하루 사이 한국 돈으로 2조3000억원에 달하는 자금을 직접 일본 증시에 주입했다는 뜻이다. BOJ가 ETF 직접 매입에 나서기 시작한 2010년 이후 일일 매수액으로는 역대 최고를 이날 기록했다.   "
"32","한국언론 보도패턴 완벽분석 ㄷㄷㄷㄷ","2248","https://www.clien.net/service/board/park/14749755?od=T31&po=1&category=&groupCd=community","         왜구들 집단 ㄷㄷㄷㄷㄷㄷㄷㄷㄷ   "
"33","일본방송 '코로나19의 진실을 말해라'","2586","https://www.clien.net/service/board/park/14749754?od=T31&po=1&category=&groupCd=community","      마지막 정신승리      이검사는 꼭 받아야할 필요 없다.   "
"34","이 사진에서 북극성이 있나요??","74","https://www.clien.net/service/board/kin/14749753?od=T31&po=1&category=&groupCd=community","       주말에 찍은 사진인데, 많은 별을 본게 신기해서 연신 셔터만 누르다 왔네요.       집에 와서 생각해보니 북극성, 북두칠성 같은 별자리가 있지 않았을까싶어 이렇게 도움을 청합니다.      혹시 알만한 별자리가 아래 사진에 들어 있을까요?      미리 감사의 말씀드립니다.      /Vollago   "
"35","아마존이 생필품 외의 물건 배송을 늦춘게 맞나보네요","483","https://www.clien.net/service/board/park/14749752?od=T31&po=1&category=&groupCd=community","      얼마전 그렇게 발표했다는걸 본거같긴 한데      방금 뭐 하나 주문했더니   분명히 아마존 프라임 물건이라 빨리 배송되어야 하는데..      예정일이 4월 21일.........거의 한달 후네요      뭐 취소야 바로 하면 되는데....이정도라니 좀 심각해보임   "
"36","현대판 일본장(고려장X)","2061","https://www.clien.net/service/board/park/14749751?od=T31&po=1&category=&groupCd=community","            はやく　　빨리   これに   이렇게   なりたい  되고 싶다         고려장 (X)   일본장 (O)            "
"37","사꾸라 1명땜에 3명을 버리기 싫습니다","1396","https://www.clien.net/service/board/park/14749750?od=T31&po=1&category=&groupCd=community","      안원구 전 대구국세청장 - 엠비 저수지 캐는데 꼭 필요한 분입니다.      황명필 정책위 부의장 - 초심님도 응원할정도로 투더코어 민주당입니다      조대진 변호사 - 종편에 나가서 파이터를 자초하며 살아온사람입니다.         일단 이겨놓고 사꾸라가 사꾸라짓해서 대중에게 외면받든 말든   비례정당답게 선명하게 행동하게 해주죠   "
"38","헬마우스 ytn 라디오 출연했군요...","709","https://www.clien.net/service/board/park/14749749?od=T31&po=1&category=&groupCd=community","      말 잘하네요..      정치분석가!!!      "
"39","n번 방 이거 심각하군요.","1506","https://www.clien.net/service/board/park/14749748?od=T31&po=1&category=&groupCd=community","      n번 방 관련 글들을 잠시 읽어봤는데, 이거 인간말종이군요.   (사실 취급하기도 꺼려지는 이런 넘들 이야기는 관심없고)   얼른 얼른 잡아넣고 공개합시다.      그리고,   ‘윤모 총장 장모’에 관해서는 수사안합니까?   이거 대놓고 권력형 범죄 아니오?   "
"40","n번방, 윤석열 꼭 사법 처리 합시다.","601","https://www.clien.net/service/board/park/14749746?od=T31&po=1&category=&groupCd=community","      두가지는 동시에 진행되야할거 같아요. 하나가 잊혀지면 큰일입니다. 동일한 제목으로 많이 적어 주세요...   "
"41","광대승천 윤석열","2482","https://www.clien.net/service/board/park/14749745?od=T31&po=1&category=&groupCd=community","                      GIF      아침통화 내역 ""장모님 걱정마세요""   "
"42","Naver에 일베 작업질하네요.","2021","https://www.clien.net/service/board/park/14749744?od=T31&po=1&category=&groupCd=community","         네이버 검색 좀 하다가 댓글 봤는데 가관이더군요.   조주빈이 고딩 일베 대학교 진보라는 주장을 하면서 하기와 같이 댓글을 달고 있습니다.   그러면서 자꾸 대깨문이라는 용어를 섞고 있습니다.      결국 하는 이야기는 일베 = 대깨문 이라는 쓰래기 같은 이야기를 하고 있습니다.   댓글로 좀 달긴했는데 진짜 일베들도 제정신은 아닌 거 같습니다.                                 "
"43","재투표한다고 서후보가 윗번호 못 받을 걸요?","632","https://www.clien.net/service/board/park/14749743?od=T31&po=1&category=&groupCd=community","      이미..      열린당이 주력인분들이 많아서      서후보 세력은 한줌도 안될걸요?      오히려 더 뒤로 밀릴수도...      "
"44","日 도쿄도 지사 '코로나19로 수도권 봉쇄 가능성' 경고","1348","https://www.clien.net/service/board/park/14749742?od=T31&po=1&category=&groupCd=community","      신종 코로나바이러스 감염증(코로나19) 지역 확산으로 도쿄도 지사가 도쿄를 포함한 수도권 봉쇄의 가능성을 언급했다.      일본 언론은 23일 고이케 유리코(小池百合子) 일본 도쿄도 지사가 기자회견에서 코로나19 확진자가 폭발적으로 증가할 경우 도쿄를 봉쇄할 가능이 있다고 경고한 것으로 전했다.            검사량을 늘리라고요!!!!!!!!      지금이 2차 세계대전이냐!!!!      왜 살릴 수 있는 목숨들을 버리냐고!!!!!!         "
"45","판데믹의 역사","1640","https://www.clien.net/service/board/park/14749741?od=T31&po=1&category=&groupCd=community","         아직까진 점이 작네요..                              "
"46","왜 텔레그램을 사용했을까요","1184","https://www.clien.net/service/board/park/14749740?od=T31&po=1&category=&groupCd=community","      ㅅㄱㄴ이라던가텔레그램보다 더 보안성이 강력한 메신저가 많은데 말입니다.      게임 매크로 알림 텔레그램으로 돌려놨는데   괜히 눈치보여 삭제했지말입니다.         "
"47","삼성DEX가 무선으로 안 되는 이유는 무엇인가요?","83","https://www.clien.net/service/board/kin/14749738?od=T31&po=1&category=&groupCd=community","       미러링 기능은 스마트띵스니... 하면서 무선으로 연결이 되는데   덱스는 왜 무선으로 안되나요?   "
"48","그래도 공중파나 ytn보면 유럽 북미 코로나 사태 많이 다루지않나요?","364","https://www.clien.net/service/board/park/14749737?od=T31&po=1&category=&groupCd=community","      며칠전에 메인에.. 외국 코로나 소식 언론들이 안다룬다고 해서요.      제가 최근 일주일 보면.. 공중파 뉴스나 와이티앤 여납뉴스는      유럽, 북미소식 시간할애 매우 많이 하는거 같더라구여      거의 뉴스 틀때마다.. 이태리,스페인,독일,뉴욕 기사는 매번 업뎃하더라구요   "
"49","왜 n번방 이야기와 조국이 같이 다루어지나 했더니..","1570","https://www.clien.net/service/board/park/14749736?od=T31&po=1&category=&groupCd=community","      건방진 애송이 쓰레기가   조국 전 장관때문에 포토라인 세우기가 불가능해졌다고   또 연관없는 법이야기로 엮어서 거짓선동해서였군요      자세한 내용은 현 시각 뉴스공장 양지열 변호사 설명으로.   "
"50","강제백수 되었으니 단기 알바라도 알아봐야할까요","853","https://www.clien.net/service/board/park/14749734?od=T31&po=1&category=&groupCd=community","      2주동안 회사 쉰다고 해서      백수되었는데...음 한 삼일 사일 정도는 그냥 쉬고      단기 알바라도 알아봐야 하나 싶네요!!      그렇다고 이 시국이 시국이라 놀러도 못 가고      쉬는 것도 쉬는거지만 그냥      단기알바라도 해야하나 싶네요 ㅎ ㅎ      "
"51","아이맥 못참겠어요 \(ㅇㅁㅇ)/","1044","https://www.clien.net/service/board/park/14749733?od=T31&po=1&category=&groupCd=community","      근데 제가 사면 일주일 안에 발표하겠죠 \(ㅇㅁㅇ)/??   "
"52","기레기는 옛날에도 많았군요","295","https://www.clien.net/service/board/park/14749731?od=T31&po=1&category=&groupCd=community","      유시민 작가는 저서 ‘청춘의 독서’에서 리영희 선생의 책 [전환시대의 논리]의 다음 구절을 소개합니다.   옛날이나 지금이나 기레기들은 여전했습니다. 그들의 권력을 언제까지 이대로 두어야 할지 모르겠습니다.            『전환시대의 논리』 제5부에 실린 「기자 풍토 종횡기」라는 수필은 원래 월간 〈창조(創造)〉 1971년 9월호에 기고한 글이다. 그런데 무려 40년 가까운 세월이 지난 지금 읽어도 독자로 하여금 옷깃을 여미고 자기의 일상을 돌아보게 만드는 힘을 지니고 있다. 놀라운 일이다.           기자는 수습 또는 견습이라는 ‘미완성’의 자격으로서도 출입처에 나가면 위로는 대통령, 장관, 국회의원, 은행 총재로부터 아래로는 국장, 부장, 과장들과 동격으로 행사하게 된다. 그들이 취재 대상의 하부층과 접촉하는 기회는 오히려 드물다. 장관이나 정치인이나 사장, 총재들과 팔짱을 끼고 청운각(淸雲閣)이니 옥류장(玉流莊)이니 조선호텔 무슨 라운지니하면서 기생을 옆에 끼고 흥청댈 때, 그 기자는 일금 1만 8000원 또는 고작해서 일금 3만 2000원이 적힌 사내 사령장(辭令狀)을 그날 아침 사장에게서 받을 때의 울상을 잊고 만다.              점심은 대통령 초대의 주식(晝食), 그것이 끝나면 은행 총재의 벤츠 차에 같이 타고 무슨 각(閣)의 기생 파티에서 최신유행의 트로트 춤을 자랑하고 이튿날 아침은 총리니 국회의장의 “자네만 오게”라는 전화에 회심의 미소를 지으면서 참석하는 꿈이 남아 있다. 이런 기회는, 많고 적고의 차이는 있지만 출입처에 나간다는 기자에게는 반드시 있다.              처음에는 어색하고 어울리지 않거나 돼먹지 않았다고 생각하던 기자도 얼마쯤 혼탁한 물에서 헤엄치다 보면 의식이 달라진다. 면역이 된다. (……) 여러 해가 걸리는 것이 아니다. 어제 수습기자로서 선배 기자들의 무력과 타락과 민중에 대한 배반을 소리 높이 규탄하던 사람이 내일은 벌써 “골프는 결코 사치가 아니야. 건전한 국민 오락이야”라는 말을 하기 시작한다. (……) 여기서부터 그의 의식구조와 가치관은 지배계급의 그것으로의 동화 과정을 걷는다.            "
"53","외신이 주목한 한국 국민들..'코로나19 성공대응 원인'","2194","https://www.clien.net/service/board/park/14749729?od=T31&po=1&category=&groupCd=community","      독일 유력 일간지 프랑크푸르터 알게마이네 차이퉁은 한국이 바이러스 대처에 성공한 중요한 이유 중 하나로 시민의 협조를 꼽았습니다.      이 신문은 한국에서는 많은 사람들이 마스크를 착용하고 있으며, 규정이 없어도 사회적 활동을 하지 않는다고 전했습니다.      그러면서 정부가 명령을 내리지 않아도 많은 상점과 식당이 영업시간을 줄였고, 재택근무와 대형 행사 취소가 이뤄졌다고 덧붙였습니다.      또, 독일 슈피겔은 한국인들은 민주주의가 바이러스에 어떻게 대응할 수 있는지 보여줬다고 보도했고, 독일 프랑크푸르터 룬트샤우는 한국의 '빨리빨리' 성향이 이 시점에는 좋게 작용하고 있다고 진단했습니다.      아울러, 스페인 유력 일간지 엘 파이스는 한국을 스페인은 따르지 못한 코로나19 극복 모범사례라고 소개하면서 한국의 시민 규율이 강제적 조치를 필요 없게 만들었다고 추켜세웠습니다.      해외 전문가들도 한국인들의 대응을 높이 평가하고 있습니다.      스테판 핸슨 국제보건학 박사와 클로디아 핸슨 역학 부교수는 스웨덴 언론 기고에서 한국은 국민에게 자세한 정보를 공개해 스스로 결정하도록 하는 전략을 취하고 있다며, 이에 대해 높은 점수를 줬습니다.      이런 가운데, 미국 ABC 방송의 '한국 자원봉사자' 영상은 유튜브 등에서 높은 관심을 끌고 있습니다.      코로나19로 자가격리된 사람들에게 음식 상자를 배달하는 모습을 담은 영상은 유튜브 조회 수 22만 회, 댓글은 1천200개 이상을 기록하고 있습니다.            언제나 이 나라를 살리는 것은      양반과 권력이 아니라      국민이죠ㅠㅜㄴ         "
"54","국가미래연구원의 신세돈 교수","918","https://www.clien.net/service/board/park/14749728?od=T31&po=1&category=&groupCd=community","      박근혜 의 경제 교사라고 불렸던 김광두 교수가 원장으로있는 국가미래연구원의 대표적 이데올 로그 이죠       보수의 핵 심 이론가 집단이긴 한데 재밌던건 김상조 쿄수와 대대적으로 토론을 했었었죠    보수 진보 대 통합? 같은 주제로 말이죠       "
"55","15일간 외출자제, 잘 지키고 계시나요?","1037","https://www.clien.net/service/board/park/14749726?od=T31&po=1&category=&groupCd=community","      일주일 간 나름대로 할 일들을 정리해서   차곡차곡 해 나가는 중입니다만,      토요일부터 시작했으니   벌써 4일차입니다. 좀이 쑤시네요.   잠깐 볼 일이 있어 자동차의 트렁크에서   고무 재질의 운동기구를 가져온 것을 제외하면   나름 두문불출 했습니다.          저는 매우 극단적으로 자제하는 편입니다. ㅎㅎ;; 여러분들은 어떠신가요?   "
"56","선거는 대구시에서만 하나요?","2094","https://www.clien.net/service/board/park/14749725?od=T31&po=1&category=&groupCd=community","      아님 인력이 대구시만 적나요?                  아 시장이 권영진..   "
"57","박사가 악질인 이유","1561","https://www.clien.net/service/board/park/14749724?od=T31&po=1&category=&groupCd=community","      1. 지능적 텔레그램 어플 이용   2. 학보사 기자, 봉사 이미지 메이킹   3. 법의 허점 인지   4. 미성년자(아동청소년) 대상   "
"58","9시부터 ebs수업 시작요.","1641","https://www.clien.net/service/board/park/14749722?od=T31&po=1&category=&groupCd=community","      초딩이상 유부님들. 아이들 아침 빨리 먹이시고 수업준비시작하셔요~~~      "
"59","'대책 없이 쉬라면 망하란 거냐'.. 업주들, 휴업 권고에 '분통'","3302","https://www.clien.net/service/board/park/14749721?od=T31&po=1&category=&groupCd=community","         https://news.v.daum.net/v/20200324040615752      종양이 원톱인 가운데 궁민 기레기가 치고 나오네요.. ㄷㄷㄷㄷ   "
"60","Skogafoss in Iceland","91","https://www.clien.net/service/board/image/14749719?od=T31&po=1&category=&groupCd=community","      아이슬란드에 많은 foss(폭포)가 있는데..   개인적으로 가장 좋았던 폭포입니다.      다른 폭포와는 다르게 폭포 아래에서 위를 바라볼 수 있고   냇가로 바로 떨어지고, 그 냇가를 따라 산책도 할 수 있어서 좋았던 거 같네요.               "
"61","Skogafoss in Iceland","91","https://www.clien.net/service/board/image/14749719?od=T31&po=2&category=&groupCd=community","      아이슬란드에 많은 foss(폭포)가 있는데..   개인적으로 가장 좋았던 폭포입니다.      다른 폭포와는 다르게 폭포 아래에서 위를 바라볼 수 있고   냇가로 바로 떨어지고, 그 냇가를 따라 산책도 할 수 있어서 좋았던 거 같네요.               "
